Id,Title,Type,Release_year,Runtime,Genres
tm101797,Blue Steel,MOVIE,1934,59,western
tm161889,Nancy Drew... Reporter,MOVIE,1939,68,comedy
tm4086,One Body Too Many,MOVIE,1944,75,thriller
tm129565,Sparrows,MOVIE,1926,84,drama
tm4401,Hollow Triumph,MOVIE,1950,90,thriller
tm90223,Dishonored Lady,MOVIE,1947,85,drama
tm66273,The Second Woman,MOVIE,1950,91,drama
tm90019,Topper Returns,MOVIE,1941,88,romance
tm58781,Quicksand,MOVIE,1950,79,romance
tm4826,The Death Kiss,MOVIE,1932,75,comedy
tm110938,The Ape Man,MOVIE,1943,64,horror
tm64321,The Amazing Quest of Ernest Bliss,MOVIE,1936,80,romance
tm63937,The Great Rupert,MOVIE,1950,88,comedy
tm163415,They Made Me a Criminal,MOVIE,1939,92,drama
tm101294,Midnight,MOVIE,1934,76,crime
tm18496,The Great Flamarion,MOVIE,1945,78,drama
tm222549,The Driftin' Kid,MOVIE,1941,57,western
tm101627,The Return Of Chandu,MOVIE,1934,60,fantasy
tm156395,Suicide Squad,MOVIE,1935,56,romance
tm110555,Stage Door Canteen,MOVIE,1943,132,comedy
tm73705,The Corpse Vanishes,MOVIE,1942,64,scifi
tm76780,Black Dragons,MOVIE,1942,64,horror
tm87549,The Gang's All Here,MOVIE,1941,61,comedy
tm70023,Beyond Tomorrow,MOVIE,1940,84,fantasy
tm2363,A Florida Enchantment,MOVIE,1914,63,fantasy
tm6305,The Babe Ruth Story,MOVIE,1948,106,drama
tm116534,Why We Fight: The Battle of Russia,MOVIE,1943,83,documentation
tm7637,Bulldog Drummond,MOVIE,1929,90,thriller
tm147347,The Eagle,MOVIE,1925,73,romance
tm86688,Whistle Stop,MOVIE,1946,85,drama
tm5668,Eyes of Texas,MOVIE,1948,70,western
tm1521,'Neath the Arizona Skies,MOVIE,1934,52,western
tm52591,Millie,MOVIE,1931,85,drama
tm82883,Target for Tonight,MOVIE,1941,48,documentation
tm66818,The Capture,MOVIE,1950,91,drama
tm348410,Attack in the Pacific,MOVIE,1944,52,war
tm5079,Under California Stars,MOVIE,1948,70,western
tm110773,Report from the Aleutians,MOVIE,1943,47,documentation
tm2767,The Marriage Circle,MOVIE,1924,85,comedy
tm7057,Loaded Pistols,MOVIE,1948,78,western
tm165135,Scrooge,MOVIE,1935,78,drama
tm69475,Hoosier Schoolboy,MOVIE,1937,62,drama
tm82769,Invisible Ghost,MOVIE,1941,63,thriller
tm73200,Li'l Abner,MOVIE,1940,78,comedy
tm112306,The Crystal Ball,MOVIE,1943,81,comedy
tm81951,Hearts of the World,MOVIE,1918,117,drama
tm100065,Blind Husbands,MOVIE,1919,89,drama
tm20308,"Salome, Where She Danced",MOVIE,1945,90,drama
tm76311,Tom Brown's School Days,MOVIE,1940,86,drama
tm163483,Chandu on the Magic Island,MOVIE,1935,70,fantasy
tm69671,Not Wanted,MOVIE,1949,91,drama
tm7600,Billy The Kid Returns,MOVIE,1938,53,western
tm5096,Blonde Ice,MOVIE,1948,73,drama
tm89848,Robin Hood of the Pecos,MOVIE,1941,59,western
tm56124,High Lonesome,MOVIE,1950,81,western
tm85884,Angel on My Shoulder,MOVIE,1946,100,fantasy
tm4603,The Princess and the Pirate,MOVIE,1944,94,action
tm57795,The Stolen Jools,MOVIE,1931,20,comedy
tm109893,City Without Men,MOVIE,1943,75,drama
tm3364,Up in Arms,MOVIE,1944,105,drama
tm7457,The Terror of Tiny Town,MOVIE,1938,62,comedy
tm61,"$50,000 Reward",MOVIE,1924,55,western
tm133278,Sagebrush Trail,MOVIE,1933,54,western
tm158617,Murder by Television,MOVIE,1935,53,horror
tm2211,A Shriek in the Night,MOVIE,1933,66,thriller
tm109693,The Milky Way,MOVIE,1936,89,comedy
tm2878,The Monster Walks,MOVIE,1932,60,thriller
tm159352,Raffles,MOVIE,1939,72,thriller
tm139236,Oliver Twist,MOVIE,1933,80,drama
tm163340,The New Adventures of Tarzan,MOVIE,1935,70,action
tm3836,Lumberjack,MOVIE,1944,65,western
tm140747,Little Annie Rooney,MOVIE,1925,95,comedy
tm162886,The Patchwork Girl of Oz,MOVIE,1914,81,fantasy
tm96440,The Ghost Walks,MOVIE,1934,69,horror
tm88566,The Strange Woman,MOVIE,1946,100,romance
tm446591,Jivin' in Bebop,MOVIE,1946,59,documentation
tm15604,Blood on the Sun,MOVIE,1945,93,drama
tm89128,The Perils of Pauline,MOVIE,1947,96,comedy
tm112305,Happy Go Lucky,MOVIE,1936,53,drama
tm66957,The Big Cat,MOVIE,1949,75,western
tm64928,Squadron of Doom,MOVIE,1949,75,action
tm56395,"Parlor, Bedroom and Bath",MOVIE,1931,73,comedy
tm1102,23 1/2 Hours Leave,MOVIE,1937,72,comedy
tm165325,The Pace That Kills,MOVIE,1935,68,drama
tm83472,Dirty Gertie from Harlem U.S.A.,MOVIE,1946,65,drama
tm16224,Fog Island,MOVIE,1945,72,horror
tm153258,The Flying Deuces,MOVIE,1939,69,comedy
tm99314,True Heart Susie,MOVIE,1919,87,drama
tm7033,Big News,MOVIE,1929,75,comedy
tm6242,Mr. Robinson Crusoe,MOVIE,1932,76,action
tm53874,The Painted Desert,MOVIE,1931,79,western
tm82044,Secret of the Wastelands,MOVIE,1941,66,western
tm7496,Blockade,MOVIE,1938,85,drama
tm117296,Two Weeks to Live,MOVIE,1943,76,comedy
tm99988,Randy Rides Alone,MOVIE,1934,53,western
tm1345,Abilene Town,MOVIE,1946,89,western
tm64603,Port of New York,MOVIE,1949,82,crime
tm7265,God's Step Children,MOVIE,1938,70,drama
tm2865,Broadway to Cheyenne,MOVIE,1932,52,western
tm85410,One Exciting Night,MOVIE,1922,143,crime
tm16537,Apology for Murder,MOVIE,1945,67,crime
tm115918,Hi Diddle Diddle,MOVIE,1943,72,comedy
tm67692,Wild Weed,MOVIE,1949,70,drama
tm88677,Love Laughs at Andy Hardy,MOVIE,1946,93,comedy
tm88617,The Fabulous Dorseys,MOVIE,1947,88,drama
tm162830,The Hoosier Schoolmaster,MOVIE,1935,75,drama
tm79526,Man With Two Lives,MOVIE,1942,65,horror
tm137977,I Cover the Waterfront,MOVIE,1933,75,romance
tm156388,The Desert Trail,MOVIE,1935,54,western
tm98597,Marie Galante,MOVIE,1934,88,thriller
tm162381,The Dawn Rider,MOVIE,1935,52,western
tm997,The Admiral Was a Lady,MOVIE,1950,87,romance
tm16141,White Pongo,MOVIE,1945,71,horror
tm6793,The Rage of Paris,MOVIE,1938,78,comedy
tm2601,Why We Fight: The Battle of China,MOVIE,1944,65,documentation
tm69197,Never Fear,MOVIE,1950,82,drama
tm59169,The Man Who Cheated Himself,MOVIE,1950,81,thriller
tm72444,Lucky Ghost,MOVIE,1942,61,comedy
tm78294,Redhead,MOVIE,1941,64,comedy
tm165496,Rocky Mountain Mystery,MOVIE,1935,63,western
tm160004,Rough Riders' Round-up,MOVIE,1939,58,western
tm320369,Fighting Mustang,MOVIE,1948,56,western
tm67007,Outpost in Morocco,MOVIE,1949,92,action
tm64939,The Sundowners,MOVIE,1950,83,western
tm108526,Rogue of the Range,MOVIE,1936,56,western
tm5402,Bill and Coo,MOVIE,1948,61,family
tm59437,Edge of Doom,MOVIE,1950,99,drama
tm10553,Saleslady,MOVIE,1938,65,drama
tm7930,The Cowboy and the Lady,MOVIE,1938,91,romance
tm47071,The Sea Ghost,MOVIE,1931,64,drama
tm218984,'Neath Canadian Skies,MOVIE,1946,41,western
tm5162,The Greeks Had a Word for Them,MOVIE,1932,79,comedy
tm76749,Mr. Wise Guy,MOVIE,1942,70,drama
tm6542,Rawhide,MOVIE,1938,58,western
tm3632,Discarded Lovers,MOVIE,1932,60,thriller
tm8894,Tarzan's Revenge,MOVIE,1938,70,romance
tm311548,Sabapathy,MOVIE,1941,158,comedy
tm163500,Condemned to Live,MOVIE,1935,67,thriller
tm95847,Calendar Girl,MOVIE,1947,88,romance
tm325439,The Fabulous Joe,MOVIE,1947,59,comedy
tm85300,Outlaws of the Desert,MOVIE,1941,66,western
tm161073,The Wedding Night,MOVIE,1935,83,drama
tm15681,Why We Fight: War Comes to America,MOVIE,1945,70,war
tm4442,Speak Easily,MOVIE,1932,81,comedy
tm83723,Mr. Bug Goes to Town,MOVIE,1941,78,comedy
tm116860,One Rainy Afternoon,MOVIE,1936,80,comedy
tm87782,Wide Open Town,MOVIE,1941,79,western
tm23348,Joan the Woman,MOVIE,1916,138,drama
tm84796,My Pal Trigger,MOVIE,1946,79,western
tm54261,Indiscreet,MOVIE,1931,92,drama
tm80661,The Son of Monte Cristo,MOVIE,1940,102,action
tm118270,Winterset,MOVIE,1936,77,drama
tm118310,Border Patrol,MOVIE,1943,65,western
tm1227,'Neath Brooklyn Bridge,MOVIE,1942,61,romance
tm5887,"Fanchon, the Cricket",MOVIE,1915,75,drama
tm114201,Ghost Town,MOVIE,1936,56,western
tm6088,"Mr. Wong, Detective",MOVIE,1938,70,thriller
tm67830,Something to Sing About,MOVIE,1937,93,comedy
tm66036,Borderline,MOVIE,1950,88,thriller
tm7724,Mickey,MOVIE,1948,87,drama
tm163136,Nurse Edith Cavell,MOVIE,1939,97,drama
tm161419,Eternally Yours,MOVIE,1939,95,drama
tm110888,This Is the Army,MOVIE,1943,121,romance
tm100001,The Lucky Texan,MOVIE,1934,61,western
tm156591,Irish Luck,MOVIE,1939,58,comedy
tm114234,Ghost Patrol,MOVIE,1936,60,western
tm264330,Forbidden Jungle,MOVIE,1950,66,action
tm88607,Dark Alibi,MOVIE,1946,61,thriller
tm138295,"Sing, Sinner, Sing",MOVIE,1933,74,drama
tm82863,Tanks a Million,MOVIE,1941,50,comedy
tm63346,Call of the Forest,MOVIE,1949,57,western
tm99843,Wagon Wheels,MOVIE,1934,56,western
tm241988,High School Girl,MOVIE,1935,55,drama
tm84400,The Blood of Jesus,MOVIE,1941,57,fantasy
tm95309,Vigilantes of Boomtown,MOVIE,1947,56,western
tm154438,Arrest Bulldog Drummond,MOVIE,1938,57,thriller
tm112452,Desert Gold,MOVIE,1936,58,western
tm76138,Phantom Killer,MOVIE,1942,61,romance
tm4349,Guest in the House,MOVIE,1944,121,thriller
tm17722,Doll Face,MOVIE,1945,80,romance
tm81973,Second Chorus,MOVIE,1941,84,comedy
tm78184,Niagara Falls,MOVIE,1941,86,comedy
tm162614,Saga of Death Valley,MOVIE,1939,58,western
tm79139,Sundown,MOVIE,1941,90,drama
tm132612,Riders of Destiny,MOVIE,1933,53,western
tm87209,The Miracle Kid,MOVIE,1941,69,comedy
tm1786,The Adventures of Tartu,MOVIE,1943,91,war
tm41414,The Medicine Man,MOVIE,1930,66,comedy
tm115760,Let's Sing Again,MOVIE,1936,70,music
tm2209,A Study in Scarlet,MOVIE,1933,72,thriller
tm80902,That Gang of Mine,MOVIE,1940,62,comedy
tm104703,Nomads of the North,MOVIE,1920,109,romance
tm4855,Dark Mountain,MOVIE,1944,57,drama
tm437701,A Night at the Follies,MOVIE,1947,64,music
tm35201,Reaching for the Moon,MOVIE,1930,91,romance
tm74487,Private Snuffy Smith,MOVIE,1942,67,comedy
tm71370,Hay Foot,MOVIE,1942,48,romance
tm105780,The Star Packer,MOVIE,1934,53,western
